country,year,gdp per capita (current us$),gdp (current us$),"inflation, consumer prices (annual %)",poverty headcount ratio at $6.85 a day (2017 ppp) (% of population),renewable energy consumption (% of total final energy consumption),"pm2.5 air pollution, mean annual exposure (micrograms per cubic meter)",total greenhouse gas emissions excluding lulucf per capita (t co2e/capita),"energy use (kg of oil equivalent) per $1,000 gdp (constant 2021 ppp)"
ETH,2024,1272.01628209211,163697927593.982,30.2188278135278,90.9,90.6,27.3053276470482,1.32125001511364,142.312432418897
EUU,2024,41422.7999680879,18590720056635.3,6.29942487419125,,21.121106310957,11.8470048713667,7.17862229057197,51.9450775008781
FCS,2024,1830.33271759402,1937937125126.32,5.88585897042164,79.7,61.3326504303219,38.1474819052194,2.16676425130671,103.677970623406
FIN,2024,52925.6897638424,295532341254.907,1.56568906231616,0.1,50.2,4.89518090216668,7.78191128046274,103.823360824209
FJI,2024,5888.73668639357,5442046565.04719,2.14817440623896,52.6,28.4,12.4187981716598,3.68015841669868,
FRA,2024,44690.9345395117,3051831611384.76,1.99904942291463,0.5,16.2,9.60038144780495,5.64554528123139,58.0983972248434
FRO,2024,71717.7042204698,3907323961.33964,,,7.9,,0.930582577732095,
FSM,2024,4084.16940424398,460000000.0,5.40874375479067,74.9,2.0,12.1144203347628,0.436828553671313,
GAB,2024,7802.83659565049,19388402541.6698,1.17311998381218,31.2,91.3,29.9548734558765,8.61324643661897,112.326656013896
GBR,2024,49463.8554617343,3380854520809.54,3.2715729463592,0.7,12.2,9.91288560282114,5.549650329188,40.9118006904249
GEO,2024,8283.66960242964,30777833585.4441,1.10971758022096,47.7,25.2,17.0438421058507,5.12697810755694,73.621335728287
GHA,2024,2260.28741289427,76370396722.154,22.8483281157842,78.5,39.0,54.2427873097724,1.42849600007861,53.3756475830624
GIN,2024,1541.04050914957,22199409741.2578,8.12313914948596,86.8,66.6,43.7674450148382,1.98776603439749,
GMB,2024,888.157407724123,2396111021.64149,16.9742129632327,80.6,47.7,58.3640402179659,0.700114350527921,
GNB,2024,951.242748289294,2048348108.35852,9.39383877456591,89.1,87.4,50.2127655060307,1.39202420055551,
GNQ,2024,6677.793435386,12337550583.754,4.78671704710803,,4.2,35.3790521811967,3.77911492469212,75.8254624691936
GRC,2024,23400.7278817691,243498333237.802,2.74149045788606,2.9,21.5,14.4089280374361,6.65661565689512,50.7062870984833
GRD,2024,11246.3451228921,1316733333.33333,2.69612269814564,13.8,10.0,24.6572416056476,1.71163553437364,
GRL,2024,57116.295770722,3235809504.29871,,,11.7,6.55624754182179,11.3831003253319,
GTM,2024,5762.82174615918,104450210572.012,2.86919482222022,55.4,62.1,21.6357355920496,2.4265651367477,73.0549403392902
GUM,2024,41833.1517132825,6910000000.0,,,6.7,9.57510553293178,0.092489159549806,
GUY,2024,20765.3503593109,17159509565.4676,2.90395226446373,,12.1,25.460668047299,9.9122287932639,
HKG,2024,50531.7385421945,380812234827.832,1.72972119105914,,0.4,,5.33005135282175,24.4608795553018
HND,2024,3231.65724461936,34400509852.0436,4.60621098127107,49.5,45.9,20.3136833896573,2.15316306447126,90.2536928494052
HPC,2024,1231.81257022963,1129946910802.31,7.12697482131851,,75.9082587937648,36.1629038373708,1.44035328980389,126.387606652261
HRV,2024,21865.4562838641,84393795502.4421,7.9412817758683,1.8,34.1,16.1208592960264,6.48070853432119,54.0574474511563
HTI,2024,1705.77905452248,19850829757.5418,36.8135162780854,85.8,76.7,21.3502554448061,1.17354412042967,123.874407596837
HUN,2024,22141.8669799276,212388906458.724,3.70370370370369,2.2,15.3,14.1364995764273,6.35171169533201,62.0180378974452
IBD,2024,7832.14975609303,38789302232983.5,5.97802515541409,,17.9072627124639,32.9526439935056,6.8522422249301,102.269341832808
IBT,2024,6075.12299337435,41669008262158.8,6.09852132676211,,23.4476328333485,34.5311571146819,5.43419698878334,100.939532004194
IDA,2024,1510.984396965,2880514996348.02,6.66325180347457,83.3,64.6604716333897,38.8427428754426,1.72992986654974,87.1797531759274
IDB,2024,1687.28133682938,1068437562493.42,4.47720868651284,,61.8135119432936,44.0940037406448,2.14656821236638,83.6145819009316
IDN,2024,4876.31432703188,1371171152331.16,3.67013142377007,61.8,20.2,17.8814994983985,4.26828661767772,70.1780068305358
